"cond_idx","N","gamma_U","gamma_T","R","cor_E1E2","H0","mean_naive","mean_pmm2","var_naive","var_pmm2","ARE","g2_emp","n_reps","power_naive","power_pmm2","power_gain_pp"
1,500,0.75,0,1,0,TRUE,0.00704853786353225,0.00662568088883463,0.0258003763711391,0.0133903486775751,1.92678898753004,0.518998191536222,300,0.065,0.045,-2
2,500,0.75,0,1.25,0.19,FALSE,0.29738491511379,0.17167330320276,2.16813938046887,1.83136803754049,1.18389058672262,0.844672650678227,300,0.075,0.055,-2
3,500,0.75,0,2,0.38,FALSE,1.47537001676167,0.187237930271132,1.05275257453175,0.491241019728152,2.14304696117261,0.466625332117236,300,0.355,0.06,-29.5
4,500,0.75,2.25,1,0,TRUE,0.00690419162381972,-0.000930454831400049,0.0492813710751863,0.00975289720990708,5.05299810041327,0.197902310693173,300,0.065,0.09,2.5
5,500,0.75,2.25,1.25,0.19,FALSE,0.347050734279401,0.127959920519023,2.14939502982244,1.68222372173936,1.27771056967383,0.782649861192957,300,0.095,0.08,-1.5
6,500,0.75,2.25,2,0.38,FALSE,1.46309935065203,-0.0382773072703466,1.12818002440526,0.433721782597538,2.60116062801515,0.384443770688265,300,0.355,0.09,-26.5
7,500,2.25,0,1,0,TRUE,0.0040453987268723,-0.00206721736390119,0.0256193743819215,0.0127687003932058,2.00641988557846,0.498400163987458,300,0.05,0.04,-1
8,500,2.25,0,1.25,0.19,FALSE,0.649285223424848,0.219094913797862,2.19283203428223,1.59883082864052,1.3715222367502,0.729116869712212,300,0.095,0.04,-5.5
9,500,2.25,0,2,0.38,FALSE,4.43100116984959,0.69373178554737,3.87684211478194,0.394413309263384,9.82938968774261,0.101735716231397,300,0.955,0.215,-74
10,500,2.25,2.25,1,0,TRUE,0.00269798433244964,0.000351174833643212,0.0557532476413604,0.0118419404252841,4.70811755836229,0.21239911442395,300,0.08,0.075,-0.5
11,500,2.25,2.25,1.25,0.19,FALSE,0.653948207534476,0.205487576202417,2.62835155572616,1.92462473962477,1.36564365074024,0.732255445597357,300,0.11,0.08,-3
12,500,2.25,2.25,2,0.38,FALSE,4.32416036131477,0.637977048477357,3.16972391044127,0.436706829355041,7.25824213723093,0.137774406129348,300,0.935,0.17,-76.5
13,2000,0.75,0,1,0,TRUE,0.00362854640488996,0.00338738155806515,0.00687665004810894,0.00367133668743708,1.87306439957962,0.533884473072275,300,0.04,0.05,1
14,2000,0.75,0,1.25,0.19,FALSE,0.238861729250137,0.134011299994323,0.572164753256238,0.49818719821557,1.14849348860357,0.870705850684342,300,0.1,0.09,-1
15,2000,0.75,0,2,0.38,FALSE,1.51407279492957,0.193487495635185,0.271499958255631,0.114070426961624,2.38010819707872,0.420148966852588,300,0.875,0.135,-74
16,2000,0.75,2.25,1,0,TRUE,-0.00120091416485821,0.00243232341338337,0.0153501884033184,0.00324398849317853,4.73188743905744,0.211332161400524,300,0.035,0.06,2.5
17,2000,0.75,2.25,1.25,0.19,FALSE,0.203401515968567,0.000383738169633528,0.548455143727854,0.450025461768813,1.21872025101017,0.820532849249961,300,0.145,0.07,-7.5
18,2000,0.75,2.25,2,0.38,FALSE,1.54063695816188,-0.0444297998766903,0.276598535346517,0.124912574513124,2.21433699869388,0.451602443796877,300,0.835,0.055,-78
19,2000,2.25,0,1,0,TRUE,0.00523934170832007,0.00310076214627256,0.00645250387498103,0.00339276454607397,1.90184252026794,0.525805890520901,300,0.07,0.075,0.499999999999999
20,2000,2.25,0,1.25,0.19,FALSE,0.722805110224537,0.309285854207932,0.524764407542338,0.400749021694734,1.30945898588387,0.763674166797224,300,0.185,0.095,-9
21,2000,2.25,0,2,0.38,FALSE,4.45237564323568,0.845618391637537,0.994280385512535,0.135818137867792,7.32067455143868,0.136599433969302,300,1,0.655,-34.5
22,2000,2.25,2.25,1,0,TRUE,-0.00196236520285918,8.339035825919e-06,0.0134783894725122,0.00292223763230414,4.61235230274025,0.21680911048488,300,0.085,0.05,-3.5
23,2000,2.25,2.25,1.25,0.19,FALSE,0.69992072441826,0.182592923191751,0.554410109080135,0.351518202794949,1.57718748182022,0.634040031084896,300,0.155,0.055,-10
24,2000,2.25,2.25,2,0.38,FALSE,4.50824027906002,0.804085511122951,1.18795109530457,0.154391464491497,7.69440913859586,0.1299644952572,300,1,0.655,-34.5
25,5000,0.75,0,1,0,TRUE,0.00201319532290049,2.16012421852576e-05,0.0025187102323987,0.0013791486797405,1.82627897151206,0.547561470946606,300,0.07,0.07,0
26,5000,0.75,0,1.25,0.19,FALSE,0.181628183520901,0.0679597113521263,0.187300094250149,0.167640156511841,1.11727463244715,0.895035088919648,300,0.1,0.08,-2
27,5000,0.75,0,2,0.38,FALSE,1.47419859289062,0.201612152651976,0.108774384412663,0.0461843047644863,2.3552240304872,0.424588059163586,300,1,0.155,-84.5
28,5000,0.75,2.25,1,0,TRUE,0.000933053382810324,-0.000444895351088726,0.00578406220377984,0.00124944566823345,4.62930269865815,0.216015254368624,300,0.055,0.06,0.5
29,5000,0.75,2.25,1.25,0.19,FALSE,0.260190928286233,0.015156820725252,0.210343218500191,0.176647496681418,1.1907511991497,0.839805998695688,300,0.085,0.05,-3.5
30,5000,0.75,2.25,2,0.38,FALSE,1.51375887408261,0.00177069100480403,0.107362720565052,0.0454771177374507,2.36080749850684,0.423583879936199,300,0.995,0.085,-91
31,5000,2.25,0,1,0,TRUE,-0.000886232090440172,-0.00131434953118614,0.00218662346908733,0.00120358233548852,1.81676267972128,0.550429624717642,300,0.07,0.09,2
32,5000,2.25,0,1.25,0.19,FALSE,0.736731789303528,0.304597662371233,0.198716202987599,0.159871134676073,1.24297737293373,0.804519874436458,300,0.385,0.15,-23.5
33,5000,2.25,0,2,0.38,FALSE,4.53940931024682,0.941999937815386,0.384306514626206,0.0556505259062631,6.90571218093296,0.144807656878758,300,1,0.975,-2.5
34,5000,2.25,2.25,1,0,TRUE,0.000181792175398955,-0.000692606340799044,0.00527532639722998,0.00129463663835285,4.0747544453413,0.245413561335778,300,0.07,0.07,0
35,5000,2.25,2.25,1.25,0.19,FALSE,0.748239182657674,0.245437463179586,0.277034940074574,0.199232889697333,1.39050806568853,0.719161596164376,300,0.365,0.06,-30.5
36,5000,2.25,2.25,2,0.38,FALSE,4.53330142522601,0.931445550295098,0.40570456765288,0.0608836058713989,6.66360938788396,0.150068820333052,300,1,0.95,-5
