"cell_id","family","N","R","test_R","kappa3","kappa4","reps","calibration_reps","alpha","order3_degenerate","order4_degenerate","threshold_normal","threshold_vp","threshold_empirical_order3","threshold_empirical_order4","threshold_empirical_joint","order3_rate_normal","order3_rate_vp","order3_rate_empirical","order4_rate_normal","order4_rate_vp","order4_rate_empirical","omnibus_rate_normal_bonferroni","omnibus_rate_vp_bonferroni","omnibus_rate_empirical_joint","order3_null_rate_normal","order3_null_rate_vp","order3_null_rate_empirical","order4_null_rate_normal","order4_null_rate_vp","order4_null_rate_empirical","omnibus_null_rate_normal_bonferroni","omnibus_null_rate_vp_bonferroni","omnibus_null_rate_empirical_joint","mean_abs_z3","mean_abs_z4","null_sd_z3","null_sd_z4","runtime_sec"
1,"null_symmetric_loading",500,1,1.25,0,-1.3,500,1000,0.05,TRUE,FALSE,1.95996398454005,4.21637021355784,NA,1.58376173158144,1.58376173158144,NA,NA,NA,0.028,0,0.068,0.014,0,0.068,NA,NA,NA,0.016,0,0.05,0.007,0,0.05,NA,0.672752134948559,NA,0.816867918712276,0.156
2,"gaussian_no_direction",500,1,1.25,0,0,500,1000,0.05,TRUE,TRUE,1.95996398454005,4.21637021355784,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.038
3,"null_symmetric_loading",500,1,1.25,0,1.3,500,1000,0.05,TRUE,FALSE,1.95996398454005,4.21637021355784,NA,1.98458843160373,1.98458843160373,NA,NA,NA,0.062,0,0.058,0.032,0,0.058,NA,NA,NA,0.055,0.003,0.05,0.029,0.001,0.05,NA,0.781115857118463,NA,0.9986505779223,0.125
4,"null_symmetric_loading",500,1,1.25,0,3,500,1000,0.05,TRUE,FALSE,1.95996398454005,4.21637021355784,NA,2.46199354156517,2.46199354156517,NA,NA,NA,0.086,0.008,0.028,0.04,0.004,0.028,NA,NA,NA,0.102,0.007,0.05,0.071,0.003,0.05,NA,0.885946141940304,NA,1.32785479811052,0.133
5,"null_symmetric_loading",500,1,1.25,0.75,-1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.73889265153132,1.57963651983951,1.82516457686584,0.034,0,0.06,0.036,0,0.1,0.028,0,0.088,0.031,0,0.05,0.011,0,0.05,0.015,0,0.05,0.739452093001506,0.71226485599241,0.889037215636857,0.825408374501797,0.176
6,"null_symmetric_loading",500,1,1.25,0.75,0,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.89744006728324,1.89744006728324,1.89744006728324,0.062,0,0.072,0.062,0,0.072,0.028,0,0.072,0.041,0,0.05,0.041,0,0.05,0.019,0,0.05,0.809692377184533,0.809692377184533,0.966001833132004,0.966001833132004,0.151
7,"null_symmetric_loading",500,1,1.25,0.75,1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.8887712118259,1.96474190463967,2.17212115906814,0.048,0,0.056,0.05,0,0.05,0.036,0,0.05,0.045,0,0.05,0.051,0.001,0.05,0.045,0,0.05,0.765783178048097,0.793289646203706,0.983237924364204,1.00539585180232,0.181
8,"null_symmetric_loading",500,1,1.25,0.75,3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.8745599756087,2.04365249647508,2.23123243110855,0.048,0,0.056,0.082,0.002,0.076,0.07,0,0.07,0.038,0,0.05,0.062,0.002,0.05,0.047,0.001,0.05,0.803179021507172,0.875064026215321,0.995059931073029,1.06375631330366,0.193
9,"null_symmetric_loading",500,1,1.25,2.25,-1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,2.10327992508064,1.72198749533936,2.13383750723463,0.046,0.002,0.04,0.018,0,0.044,0.032,0,0.038,0.068,0,0.05,0.024,0,0.05,0.035,0,0.05,0.815473626159518,0.691504428758384,1.08076192978938,0.876104021277714,0.191
10,"null_symmetric_loading",500,1,1.25,2.25,0,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,2.380346672706,2.380346672706,2.380346672706,0.07,0.002,0.032,0.07,0.002,0.032,0.048,0,0.032,0.101,0,0.05,0.101,0,0.05,0.07,0,0.05,0.894199844997072,0.894199844997072,1.17951755404431,1.17951755404431,0.154
11,"null_symmetric_loading",500,1,1.25,2.25,1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,2.10216600822464,2.53643813975832,2.53814676015128,0.066,0,0.04,0.116,0.006,0.042,0.076,0,0.042,0.066,0,0.05,0.113,0.003,0.05,0.077,0,0.05,0.829052118552763,0.994809310496672,1.04690169291026,1.24902662936346,0.188
12,"null_symmetric_loading",500,1,1.25,2.25,3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.93427734278082,2.63251428455344,2.68949827418722,0.05,0,0.052,0.114,0.002,0.04,0.088,0,0.038,0.049,0,0.05,0.13,0.006,0.05,0.098,0,0.05,0.781664539771831,0.96653466552206,1.02574279453229,1.28303618028929,0.201
13,"pure_kurtosis",500,1.25,1.25,0,-1.3,500,1000,0.05,TRUE,FALSE,1.95996398454005,4.21637021355784,NA,1.60306446410845,1.60306446410845,NA,NA,NA,0.008,0,0.036,0.004,0,0.036,NA,NA,NA,0.019,0,0.05,0.005,0,0.05,NA,0.658632750017259,NA,0.81211365898258,0.112
14,"gaussian_no_direction",500,1.25,1.25,0,0,500,1000,0.05,TRUE,TRUE,1.95996398454005,4.21637021355784,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.0389999999999997
15,"pure_kurtosis",500,1.25,1.25,0,1.3,500,1000,0.05,TRUE,FALSE,1.95996398454005,4.21637021355784,NA,1.91242960402427,1.91242960402427,NA,NA,NA,0.09,0.006,0.096,0.062,0,0.096,NA,NA,NA,0.043,0,0.05,0.021,0,0.05,NA,0.85220254741038,NA,0.964099705370206,0.124
16,"pure_kurtosis",500,1.25,1.25,0,3,500,1000,0.05,TRUE,FALSE,1.95996398454005,4.21637021355784,NA,2.20451562893916,2.20451562893916,NA,NA,NA,0.1,0.008,0.072,0.07,0.004,0.072,NA,NA,NA,0.083,0.007,0.05,0.048,0.003,0.05,NA,1.0207350044479,NA,1.34616825621391,0.134
17,"mixed",500,1.25,1.25,0.75,-1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.88396140935537,1.70377847636527,1.99892134688056,0.028,0,0.036,0.014,0,0.03,0.018,0,0.034,0.042,0,0.05,0.023,0,0.05,0.028,0,0.05,0.743356876174327,0.678991897404469,0.953015566791526,0.86350945284348,0.191
18,"skew_only",500,1.25,1.25,0.75,0,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.89714697877001,1.89714697877001,1.89714697877001,0.082,0,0.094,0.082,0,0.094,0.046,0,0.094,0.046,0,0.05,0.046,0,0.05,0.022,0,0.05,0.887330860811546,0.887330860811546,0.97274895788922,0.97274895788922,0.144
19,"mixed",500,1.25,1.25,0.75,1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.91056947013547,1.93104824406448,2.11659728212591,0.042,0,0.046,0.05,0,0.052,0.04,0,0.056,0.045,0,0.05,0.049,0,0.05,0.037,0,0.05,0.750308706532954,0.810178195728296,0.965603767558118,0.991249353040474,0.183
20,"mixed",500,1.25,1.25,0.75,3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.99074846263552,2.11714927925161,2.40653997225892,0.062,0,0.06,0.09,0.006,0.07,0.082,0.002,0.074,0.052,0.001,0.05,0.067,0.007,0.05,0.06,0.003,0.05,0.834614678800148,0.896298575299093,1.01783515384911,1.21225864219425,0.188
21,"mixed",500,1.25,1.25,2.25,-1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,2.13342601341045,1.6788452799276,2.16023502154983,0.186,0.002,0.142,0.046,0,0.098,0.122,0,0.138,0.071,0,0.05,0.032,0,0.05,0.044,0,0.05,1.19652227177943,0.829745286725966,1.07634310283576,0.866968279801517,0.184
22,"skew_only",500,1.25,1.25,2.25,0,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,2.09283798989609,2.09283798989609,2.09283798989609,0.316,0.018,0.274,0.316,0.018,0.274,0.238,0,0.274,0.073,0,0.05,0.073,0,0.05,0.031,0,0.05,1.57841256290161,1.57841256290161,1.08241263335369,1.08241263335369,0.155
23,"mixed",500,1.25,1.25,2.25,1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,2.16689875377224,2.55220048605948,2.57917194480915,0.194,0.006,0.146,0.312,0.026,0.166,0.24,0.006,0.162,0.073,0,0.05,0.13,0.003,0.05,0.083,0,0.05,1.22512777754219,1.52512780816748,1.06796208458091,1.29645284861286,0.198
24,"mixed",500,1.25,1.25,2.25,3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,2.22133349280218,2.39745800483571,2.57420811908842,0.124,0,0.062,0.242,0.012,0.164,0.202,0.002,0.138,0.075,0,0.05,0.118,0.003,0.05,0.087,0.001,0.05,1.03498306681048,1.35043177302425,1.05768866384971,1.29138410728024,0.204
25,"pure_kurtosis",500,1.5,1.5,0,-1.3,500,1000,0.05,TRUE,FALSE,1.95996398454005,4.21637021355784,NA,1.47423774511375,1.47423774511375,NA,NA,NA,0.022,0,0.084,0.008,0,0.084,NA,NA,NA,0.013,0,0.05,0.006,0,0.05,NA,0.716561141022766,NA,0.759689109679583,0.111
26,"gaussian_no_direction",500,1.5,1.5,0,0,500,1000,0.05,TRUE,TRUE,1.95996398454005,4.21637021355784,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.0380000000000003
27,"pure_kurtosis",500,1.5,1.5,0,1.3,500,1000,0.05,TRUE,FALSE,1.95996398454005,4.21637021355784,NA,1.86920359386789,1.86920359386789,NA,NA,NA,0.11,0.01,0.126,0.072,0.004,0.126,NA,NA,NA,0.044,0.001,0.05,0.032,0.001,0.05,NA,0.986567814397393,NA,1.00072376223671,0.125
28,"pure_kurtosis",500,1.5,1.5,0,3,500,1000,0.05,TRUE,FALSE,1.95996398454005,4.21637021355784,NA,2.15181902175611,2.15181902175611,NA,NA,NA,0.188,0.028,0.16,0.154,0.01,0.16,NA,NA,NA,0.073,0.005,0.05,0.043,0.003,0.05,NA,1.29557390947481,NA,1.17021202924714,0.132000000000001
29,"mixed",500,1.5,1.5,0.75,-1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.79771972968824,1.63875750563047,1.88716156428324,0.018,0,0.042,0.014,0,0.04,0.01,0,0.034,0.023,0,0.05,0.02,0,0.05,0.014,0,0.05,0.696976564772109,0.64980343142375,0.913732503247954,0.83654474255917,0.185
30,"skew_only",500,1.5,1.5,0.75,0,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.90842551565097,1.90842551565097,1.90842551565097,0.182,0,0.194,0.182,0,0.194,0.118,0,0.194,0.047,0,0.05,0.047,0,0.05,0.018,0,0.05,1.18282678685878,1.18282678685878,0.969293342173843,0.969293342173843,0.141
31,"mixed",500,1.5,1.5,0.75,1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.77812410419445,1.86668899000518,2.00244286674634,0.042,0,0.062,0.058,0,0.074,0.042,0,0.068,0.026,0,0.05,0.039,0,0.05,0.027,0,0.05,0.761935929956968,0.797716612369903,0.932677803252375,0.941453437513618,0.191000000000001
32,"mixed",500,1.5,1.5,0.75,3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,1.89499328451499,2.01024558218894,2.2445974399895,0.08,0,0.092,0.12,0.01,0.112,0.114,0.002,0.114,0.044,0.001,0.05,0.058,0.003,0.05,0.051,0.002,0.05,0.889585467228255,1.01221368736856,0.985976967360027,1.15733726299536,0.181
33,"mixed",500,1.5,1.5,2.25,-1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,2.00168273501643,1.58473538194385,2.03933627512213,0.536,0.028,0.512,0.188,0,0.35,0.416,0,0.504,0.056,0.001,0.05,0.013,0,0.05,0.026,0,0.05,2.04397488351254,1.29735209171075,0.984965838357285,0.794000238639202,0.2
34,"skew_only",500,1.5,1.5,2.25,0,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,2.09587190263292,2.09587190263292,2.09587190263292,0.77,0.15,0.746,0.77,0.15,0.746,0.704,0.016,0.746,0.069,0,0.05,0.069,0,0.05,0.036,0,0.05,2.94496750383057,2.94496750383057,1.09472700423273,1.09472700423273,0.156
35,"mixed",500,1.5,1.5,2.25,1.3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,2.00562143379492,2.53013544302626,2.53744030811458,0.528,0.04,0.522,0.654,0.15,0.492,0.59,0.032,0.492,0.053,0,0.05,0.124,0.001,0.05,0.088,0,0.05,2.12266655747741,2.71350434370212,1.04464471900973,1.26603195739074,0.205
36,"mixed",500,1.5,1.5,2.25,3,500,1000,0.05,FALSE,FALSE,1.95996398454005,4.21637021355784,2.02241164348954,2.57046276521162,2.58450721629117,0.324,0.002,0.3,0.482,0.066,0.328,0.442,0.014,0.334,0.056,0,0.05,0.111,0.007,0.05,0.074,0,0.05,1.53202399826024,2.08096893685872,1.02187628578753,1.25286283063749,0.203
37,"pure_kurtosis",500,2,2,0,-1.3,500,1000,0.05,TRUE,FALSE,1.95996398454005,4.21637021355784,NA,1.06587898176484,1.06587898176484,NA,NA,NA,0.038,0,0.416,0.014,0,0.416,NA,NA,NA,0.003,0,0.05,0.001,0,0.05,NA,0.992329552381572,NA,0.552924916319094,0.111000000000001
38,"gaussian_no_direction",500,2,2,0,0,500,1000,0.05,TRUE,TRUE,1.95996398454005,4.21637021355784,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0.0470000000000006
39,"pure_kurtosis",500,2,2,0,1.3,500,1000,0.05,TRUE,FALSE,1.95996398454005,4.21637021355784,NA,1.37038441025506,1.37038441025506,NA,NA,NA,0.122,0.01,0.266,0.072,0.004,0.266,NA,NA,NA,0.01,0,0.05,0.006,0,0.05,NA,1.03469645181459,NA,0.69598037715019,0.117999999999999
