"method","n_features","threshold","typeI_H0_ng","nuisance_H1_gauss","power_H1_ng","accuracy","balanced_accuracy","alpha","patp_basis","cond_h0","cond_h1","cond_max"
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0,"patp_n3_a0.00",37962.4167916577,38100.251857018,38100.251857018
"dsge",3,0.634807114834553,0,0.12,0.171666666666667,0.683888888888889,0.555833333333333,0,"patp_n3_a0.00",37962.4167916577,38100.251857018,38100.251857018
"hybrid",14,0.661212162644886,0.0166666666666667,0.0766666666666667,0.718333333333333,0.875,0.835833333333333,0,"patp_n3_a0.00",37962.4167916577,38100.251857018,38100.251857018
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.05,"patp_n3_a0.05",36740.8840434441,36958.0121647196,36958.0121647196
"dsge",3,0.636595792867611,0,0.121666666666667,0.17,0.682777777777778,0.554583333333333,0.05,"patp_n3_a0.05",36740.8840434441,36958.0121647196,36958.0121647196
"hybrid",14,0.658971041052297,0.0166666666666667,0.0766666666666667,0.718333333333333,0.875,0.835833333333333,0.05,"patp_n3_a0.05",36740.8840434441,36958.0121647196,36958.0121647196
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.1,"patp_n3_a0.10",36008.7991475727,36280.0986854345,36280.0986854345
"dsge",3,0.636467914053505,0,0.121666666666667,0.17,0.682777777777778,0.554583333333333,0.1,"patp_n3_a0.10",36008.7991475727,36280.0986854345,36280.0986854345
"hybrid",14,0.659803178779943,0.0166666666666667,0.0766666666666667,0.718333333333333,0.875,0.835833333333333,0.1,"patp_n3_a0.10",36008.7991475727,36280.0986854345,36280.0986854345
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.15,"patp_n3_a0.15",36192.8461689089,36466.2852505622,36466.2852505622
"dsge",3,0.636149754024442,0,0.12,0.17,0.683333333333333,0.555,0.15,"patp_n3_a0.15",36192.8461689089,36466.2852505622,36466.2852505622
"hybrid",14,0.660774981011201,0.0166666666666667,0.0766666666666667,0.721666666666667,0.876111111111111,0.8375,0.15,"patp_n3_a0.15",36192.8461689089,36466.2852505622,36466.2852505622
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.2,"patp_n3_a0.20",37104.2029525721,37327.4513298375,37327.4513298375
"dsge",3,0.634582324414709,0,0.12,0.171666666666667,0.683888888888889,0.555833333333333,0.2,"patp_n3_a0.20",37104.2029525721,37327.4513298375,37327.4513298375
"hybrid",14,0.655119720092874,0.0166666666666667,0.0766666666666667,0.721666666666667,0.876111111111111,0.8375,0.2,"patp_n3_a0.20",37104.2029525721,37327.4513298375,37327.4513298375
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.25,"patp_n3_a0.25",38216.2065394079,38362.1449088235,38362.1449088235
"dsge",3,0.633942799925907,0,0.12,0.171666666666667,0.683888888888889,0.555833333333333,0.25,"patp_n3_a0.25",38216.2065394079,38362.1449088235,38362.1449088235
"hybrid",14,0.648812130149537,0.0166666666666667,0.0766666666666667,0.73,0.878888888888889,0.841666666666667,0.25,"patp_n3_a0.25",38216.2065394079,38362.1449088235,38362.1449088235
"existing",11,0.745108346306963,0.00833333333333333,0.0933333333333333,0.611666666666667,0.836666666666667,0.780416666666667,0.3,"patp_n3_a0.30",39082.7262510066,39159.9936486415,39159.9936486415
"dsge",3,0.639310412311012,0,0.115,0.16,0.681666666666667,0.55125,0.3,"patp_n3_a0.30",39082.7262510066,39159.9936486415,39159.9936486415
