"split_id","items_1","items_2","N","cor_X1X2","sb_reliability","delta_c3","ci_lo_c3","ci_hi_c3","sig_c3","delta_c4","ci_lo_c4","ci_hi_c4","sig_c4"
1,"ADPLEASR+ADDOWN+ADSLEEP+ADENERGY","ADEAT1+ADFAIL+ADTHINK+ADMOVE",2136,0.7852,0.8797,179.34662,94.19011,266.39254,1,-2350.78506,-6044.11388,1084.79627,0
2,"ADPLEASR+ADDOWN+ADSLEEP+ADEAT1","ADENERGY+ADFAIL+ADTHINK+ADMOVE",2136,0.8248,0.904,5.13599,-61.3002,71.21184,0,480.69341,-2702.20382,3506.15146,0
3,"ADPLEASR+ADDOWN+ADSLEEP+ADFAIL","ADENERGY+ADEAT1+ADTHINK+ADMOVE",2136,0.8048,0.8919,-168.12304,-246.98495,-87.41397,1,9636.77691,6400.50037,12876.94436,1
4,"ADPLEASR+ADDOWN+ADSLEEP+ADTHINK","ADENERGY+ADEAT1+ADFAIL+ADMOVE",2136,0.8284,0.9062,-82.87707,-150.2421,-15.66909,1,6784.40802,3673.47995,9920.77672,1
5,"ADPLEASR+ADDOWN+ADSLEEP+ADMOVE","ADENERGY+ADEAT1+ADFAIL+ADTHINK",2136,0.8204,0.9013,-312.91023,-380.50618,-243.64815,1,4001.37002,625.27546,7342.26513,1
6,"ADPLEASR+ADDOWN+ADENERGY+ADEAT1","ADSLEEP+ADFAIL+ADTHINK+ADMOVE",2136,0.8134,0.8971,91.99566,19.85986,166.60494,1,-3348.81781,-6891.77148,-156.43272,1
7,"ADPLEASR+ADDOWN+ADENERGY+ADFAIL","ADSLEEP+ADEAT1+ADTHINK+ADMOVE",2136,0.8047,0.8918,-117.15742,-204.67935,-30.23851,1,5507.5915,1907.38662,8646.21741,1
8,"ADPLEASR+ADDOWN+ADENERGY+ADTHINK","ADSLEEP+ADEAT1+ADFAIL+ADMOVE",2136,0.8312,0.9078,-19.36442,-91.57517,50.27372,0,3018.0251,33.34775,6119.50468,1
9,"ADPLEASR+ADDOWN+ADENERGY+ADMOVE","ADSLEEP+ADEAT1+ADFAIL+ADTHINK",2136,0.8322,0.9084,-236.13335,-306.62041,-171.57547,1,215.50547,-3129.14941,3422.14225,0
10,"ADPLEASR+ADDOWN+ADEAT1+ADFAIL","ADSLEEP+ADENERGY+ADTHINK+ADMOVE",2136,0.7983,0.8878,-304.26699,-387.61882,-223.72948,1,9711.41357,6248.61079,13336.75375,1
11,"ADPLEASR+ADDOWN+ADEAT1+ADTHINK","ADSLEEP+ADENERGY+ADFAIL+ADMOVE",2136,0.8332,0.909,-247.24137,-317.77926,-177.8567,1,6879.85684,3693.62995,10054.73409,1
12,"ADPLEASR+ADDOWN+ADEAT1+ADMOVE","ADSLEEP+ADENERGY+ADFAIL+ADTHINK",2136,0.8315,0.908,-422.20643,-489.40635,-352.61252,1,3526.50772,144.03018,7052.40916,1
13,"ADPLEASR+ADDOWN+ADFAIL+ADTHINK","ADSLEEP+ADENERGY+ADEAT1+ADMOVE",2136,0.7704,0.8703,-472.45137,-561.37535,-383.35288,1,15751.48602,11789.15893,19712.16298,1
14,"ADPLEASR+ADDOWN+ADFAIL+ADMOVE","ADSLEEP+ADENERGY+ADEAT1+ADTHINK",2136,0.7802,0.8765,-669.87509,-751.93248,-587.26118,1,12712.01753,8606.06217,16924.727,1
15,"ADPLEASR+ADDOWN+ADTHINK+ADMOVE","ADSLEEP+ADENERGY+ADEAT1+ADFAIL",2136,0.7973,0.8872,-584.33312,-661.78825,-499.0381,1,10131.1017,6126.3869,13988.28973,1
16,"ADPLEASR+ADSLEEP+ADENERGY+ADEAT1","ADDOWN+ADFAIL+ADTHINK+ADMOVE",2136,0.7836,0.8786,439.09111,357.72596,530.66069,1,-15090.34215,-18840.62959,-11146.27452,1
17,"ADPLEASR+ADSLEEP+ADENERGY+ADFAIL","ADDOWN+ADEAT1+ADTHINK+ADMOVE",2136,0.846,0.9166,214.60985,146.09099,284.05605,1,-5906.57053,-8788.38457,-2722.83228,1
