"cond_idx","N","gamma_U","gamma_T","R","cor_E1E2","H0","estimand","estimator","rate","ci_lo","ci_hi","n_reps"
1,500,0.75,0,1,0,TRUE,"typeI","naive_delta_c3",0.065,0.038376354649153,0.108019079299069,200
1,500,0.75,0,1,0,TRUE,"typeI","pmm2_delta_c3",0.045,0.023852543001493,0.0832967040018196,200
2,500,0.75,0,1.25,0.19,FALSE,"power","naive_delta_c3",0.075,0.045974917184382,0.120043610236295,200
2,500,0.75,0,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.055,0.0309853417034588,0.0957869987723084,200
3,500,0.75,0,2,0.38,FALSE,"power","naive_delta_c3",0.355,0.291986275404312,0.423478869245096,200
3,500,0.75,0,2,0.38,FALSE,"power","pmm2_delta_c3",0.06,0.0346521942543319,0.101931692957663,200
4,500,0.75,2.25,1,0,TRUE,"typeI","naive_delta_c3",0.065,0.038376354649153,0.108019079299069,200
4,500,0.75,2.25,1,0,TRUE,"typeI","pmm2_delta_c3",0.09,0.0576874488621932,0.137765718767165,200
5,500,0.75,2.25,1.25,0.19,FALSE,"power","naive_delta_c3",0.095,0.0616631027173865,0.143601611648199,200
5,500,0.75,2.25,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.08,0.04984058588976,0.125989488267144,200
6,500,0.75,2.25,2,0.38,FALSE,"power","naive_delta_c3",0.355,0.291986275404312,0.423478869245096,200
6,500,0.75,2.25,2,0.38,FALSE,"power","pmm2_delta_c3",0.09,0.0576874488621932,0.137765718767165,200
7,500,2.25,0,1,0,TRUE,"typeI","naive_delta_c3",0.05,0.0273826456007639,0.089578148138776,200
7,500,2.25,0,1,0,TRUE,"typeI","pmm2_delta_c3",0.04,0.0204056320661523,0.0769320682009329,200
8,500,2.25,0,1.25,0.19,FALSE,"power","naive_delta_c3",0.095,0.0616631027173865,0.143601611648199,200
8,500,2.25,0,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.04,0.0204056320661523,0.0769320682009329,200
9,500,2.25,0,2,0.38,FALSE,"power","naive_delta_c3",0.955,0.91670329599818,0.976147456998507,200
9,500,2.25,0,2,0.38,FALSE,"power","pmm2_delta_c3",0.215,0.163718762545076,0.277023073489966,200
10,500,2.25,2.25,1,0,TRUE,"typeI","naive_delta_c3",0.08,0.04984058588976,0.125989488267144,200
10,500,2.25,2.25,1,0,TRUE,"typeI","pmm2_delta_c3",0.075,0.045974917184382,0.120043610236295,200
11,500,2.25,2.25,1.25,0.19,FALSE,"power","naive_delta_c3",0.11,0.073772444601253,0.160926909973015,200
11,500,2.25,2.25,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.08,0.04984058588976,0.125989488267144,200
12,500,2.25,2.25,2,0.38,FALSE,"power","naive_delta_c3",0.935,0.891980920700931,0.961623645350847,200
12,500,2.25,2.25,2,0.38,FALSE,"power","pmm2_delta_c3",0.17,0.12427907912587,0.228158836283126,200
13,2000,0.75,0,1,0,TRUE,"typeI","naive_delta_c3",0.04,0.0204056320661523,0.0769320682009329,200
13,2000,0.75,0,1,0,TRUE,"typeI","pmm2_delta_c3",0.05,0.0273826456007639,0.089578148138776,200
14,2000,0.75,0,1.25,0.19,FALSE,"power","naive_delta_c3",0.1,0.0656704486690959,0.149405812432717,200
14,2000,0.75,0,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.09,0.0576874488621932,0.137765718767165,200
15,2000,0.75,0,2,0.38,FALSE,"power","naive_delta_c3",0.875,0.821985749974177,0.913880255242874,200
15,2000,0.75,0,2,0.38,FALSE,"power","pmm2_delta_c3",0.135,0.0944657045478791,0.189291383707525,200
16,2000,0.75,2.25,1,0,TRUE,"typeI","naive_delta_c3",0.035,0.0170555420085672,0.0704706115222907,200
16,2000,0.75,2.25,1,0,TRUE,"typeI","pmm2_delta_c3",0.06,0.0346521942543319,0.101931692957663,200
17,2000,0.75,2.25,1.25,0.19,FALSE,"power","naive_delta_c3",0.145,0.102893506420044,0.200486675307815,200
17,2000,0.75,2.25,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.07,0.0421521718283428,0.114054808856106,200
18,2000,0.75,2.25,2,0.38,FALSE,"power","naive_delta_c3",0.835,0.777342184609405,0.880031446717827,200
18,2000,0.75,2.25,2,0.38,FALSE,"power","pmm2_delta_c3",0.055,0.0309853417034588,0.0957869987723084,200
19,2000,2.25,0,1,0,TRUE,"typeI","naive_delta_c3",0.07,0.0421521718283428,0.114054808856106,200
19,2000,2.25,0,1,0,TRUE,"typeI","pmm2_delta_c3",0.075,0.045974917184382,0.120043610236295,200
20,2000,2.25,0,1.25,0.19,FALSE,"power","naive_delta_c3",0.185,0.13730192800616,0.244570627611517,200
20,2000,2.25,0,1.25,0.19,FALSE,"power","pmm2_delta_c3",0.095,0.0616631027173865,0.143601611648199,200
21,2000,2.25,0,2,0.38,FALSE,"power","naive_delta_c3",1,0.981154673622733,1,200
21,2000,2.25,0,2,0.38,FALSE,"power","pmm2_delta_c3",0.655,0.586755892590537,0.717402056232511,200
22,2000,2.25,2.25,1,0,TRUE,"typeI","naive_delta_c3",0.085,0.0537457501774756,0.131895870715656,200
22,2000,2.25,2.25,1,0,TRUE,"typeI","pmm2_delta_c3",0.05,0.0273826456007639,0.089578148138776,200
