"cell","R","cor_E1E2","gamma_U","basis","quantity","mean","sd_over_draws","n_draws","N"
"H1_R2_gU2.25",2,0.38,2.25,"single","K_phi4",0.238832745758045,0.00141626255651281,20,1e+06
"H1_R2_gU2.25",2,0.38,2.25,"single","mean_phi1",4.49317962951562,0.0403894246445511,20,1e+06
"H1_R2_gU2.25",2,0.38,2.25,"single","mean_phi4",-15.7101238979278,0.134894961127537,20,1e+06
"H1_R2_gU2.25",2,0.38,2.25,"single","statistic",0.740972580939539,0.0220054491749592,20,1e+06
"H1_R2_gU2.25",2,0.38,2.25,"three","K_phi4",0.160292255804539,0.00822874784191839,20,1e+06
"H1_R2_gU2.25",2,0.38,2.25,"three","K_phi7",0.0292591330323375,0.00198070599063994,20,1e+06
"H1_R2_gU2.25",2,0.38,2.25,"three","K_phi8",-0.0053645177635829,0.000862440442887078,20,1e+06
"H1_R2_gU2.25",2,0.38,2.25,"three","mean_phi1",4.49317962951562,0.0403894246445511,20,1e+06
"H1_R2_gU2.25",2,0.38,2.25,"three","mean_phi4",-15.7101238979278,0.134894961127537,20,1e+06
"H1_R2_gU2.25",2,0.38,2.25,"three","mean_phi7",-72.5231211186166,0.923387834770706,20,1e+06
"H1_R2_gU2.25",2,0.38,2.25,"three","mean_phi8",-230.09755503998,2.54764562046201,20,1e+06
"H1_R2_gU2.25",2,0.38,2.25,"three","statistic",1.08791086097592,0.0398684139484969,20,1e+06
"H0_section5",1,0,2.25,"single","K_phi4",0.153645781532552,0.000629132101375046,20,1e+06
"H0_section5",1,0,2.25,"single","mean_phi1",8.09266158168436e-05,0.00314152785458221,20,1e+06
"H0_section5",1,0,2.25,"single","mean_phi4",-0.00118964355406873,0.0102699257808992,20,1e+06
"H0_section5",1,0,2.25,"single","statistic",-9.90351127590745e-05,0.00221020575403815,20,1e+06
"H0_section5",1,0,2.25,"three","K_phi4",0.153649176521547,0.000630435235653722,20,1e+06
"H0_section5",1,0,2.25,"three","K_phi7",-0.000318081182383885,0.00235206018581209,20,1e+06
"H0_section5",1,0,2.25,"three","K_phi8",2.91223029279121e-05,0.000773765993074702,20,1e+06
"H0_section5",1,0,2.25,"three","mean_phi1",8.09266158168436e-05,0.00314152785458221,20,1e+06
"H0_section5",1,0,2.25,"three","mean_phi4",-0.00118964355406873,0.0102699257808992,20,1e+06
"H0_section5",1,0,2.25,"three","mean_phi7",0.00306463157404174,0.021802894243591,20,1e+06
"H0_section5",1,0,2.25,"three","mean_phi8",0.0153862989759474,0.068962290674022,20,1e+06
"H0_section5",1,0,2.25,"three","statistic",-0.000106422503461862,0.00221453222269651,20,1e+06
