"run","n_reps","B","alpha","sigma_T","sigma_W","lambda","gamma_T","cond_idx","condition","gamma_W1","gamma_W2","N","estimator","n_reject","rejection_rate","ci_lo","ci_hi","mean_estimate","sd_estimate","mcse_mean_estimate","mean_K_phi4","mean_K_phi7","mean_K_phi8","sd_K_phi4","kappa3_W1_minus_W2","kappa4_W1_minus_W2","offset_theory_k3_only","offset_theory_all_aux","Kpop_phi4","Kpop_phi7","Kpop_phi8","offset_theory_Kpop","seed_base","seed_first","seed_last","cell_elapsed_sec","max_diag_err","max_parity22"
"sec5_match_200",200,200,0.05,1,1,1,0,1,"control_gaussian",0,0,500,"naive_delta_c3",12,0.06,0.0346521942543319,0.101931692957663,0.00888289049717941,0.150436595181423,0.01063747365914,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,20260548,20770549,20770748,1.42456412315369,0,1.22796059330577e-05
"sec5_match_200",200,200,0.05,1,1,1,0,1,"control_gaussian",0,0,500,"pmm2_full_3aux",14,0.07,0.0421521718283428,0.114054808856106,0.00370342701140243,0.105697539733897,0.00747394471005731,0.149963662843238,0.00357062140431233,-0.00215303659608919,0.0307837455001219,0,0,0,0,0.153862958102236,0.000359626480246627,-0.000304924923633801,0,20260548,20770549,20770748,1.42456412315369,0,1.22796059330577e-05
"sec5_match_200",200,200,0.05,1,1,1,0,1,"control_gaussian",0,0,500,"pmm2_single_aux_phi4",9,0.045,0.023852543001493,0.0832967040018196,0.00311789510813897,0.109833308174593,0.00776638770104069,0.151642987721984,NA,NA,0.0321034417830993,0,0,0,0,0.153865219537134,NA,NA,0,20260548,20770549,20770748,1.42456412315369,0,1.22796059330577e-05
"sec5_match_200",200,200,0.05,1,1,1,0,2,"control_identical_skew",2.25,2.25,500,"naive_delta_c3",13,0.065,0.038376354649153,0.108019079299069,0.00742445925173015,0.242261657681727,0.0171304860968243,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,20260548,20780549,20780748,1.55280709266663,0,5.50575694824307e-06
"sec5_match_200",200,200,0.05,1,1,1,0,2,"control_identical_skew",2.25,2.25,500,"pmm2_full_3aux",13,0.065,0.038376354649153,0.108019079299069,0.015218918614048,0.124962469165136,0.00883618093404828,0.0740606403417411,0.162454427639094,-0.0195932758673842,0.0702027321962463,0,0,0,0,0.0443641338977794,0.116635373080622,-0.00818785503003136,0,20260548,20780549,20780748,1.55280709266663,0,5.50575694824307e-06
"sec5_match_200",200,200,0.05,1,1,1,0,2,"control_identical_skew",2.25,2.25,500,"pmm2_single_aux_phi4",14,0.07,0.0421521718283428,0.114054808856106,0.0113596434921176,0.20539742982178,0.0145237915465268,0.0627837042576953,NA,NA,0.063146918052932,0,0,0,0,0.0676308755989221,NA,NA,0,20260548,20780549,20780748,1.55280709266663,0,5.50575694824307e-06
"sec5_match_200",200,200,0.05,1,1,1,0,3,"treatment_skew_vs_gaussian",2.25,0,500,"naive_delta_c3",19,0.095,0.0616631027173865,0.143601611648199,-0.0392106547596254,0.255131713587834,0.0180405364773701,NA,NA,NA,NA,2.25,7.59375,0,0,NA,NA,NA,0,20260548,20790549,20790748,1.56052708625793,0,1.76228770213394e-05
"sec5_match_200",200,200,0.05,1,1,1,0,3,"treatment_skew_vs_gaussian",2.25,0,500,"pmm2_full_3aux",49,0.245,0.190568680890372,0.309042435562034,0.128025665517949,0.0968343495051087,0.00684722251868506,0.15142173300098,0.136164383167806,-0.0317647713960505,0.0573321512710004,2.25,7.59375,0.340698899252206,0.0994851664634476,0.116320999998637,0.1090256523019,-0.016445409773328,0.136839919530724,20260548,20790549,20790748,1.56052708625793,0,1.76228770213394e-05
"sec5_match_200",200,200,0.05,1,1,1,0,3,"treatment_skew_vs_gaussian",2.25,0,500,"pmm2_single_aux_phi4",74,0.37,0.306126084098591,0.438773700759498,0.182859442072684,0.147704647942861,0.0104442958173169,0.0947141936295684,NA,NA,0.0783644159990588,2.25,7.59375,0.213106935666529,0.213106935666529,0.0779183335921049,NA,NA,0.175316250582236,20260548,20790549,20790748,1.56052708625793,0,1.76228770213394e-05
"sec5_match_200",200,200,0.05,1,1,1,0,4,"treatment_mild_skew_vs_gaussian",0.75,0,500,"naive_delta_c3",18,0.09,0.0576874488621932,0.137765718767165,-0.002546446376931,0.176333903029398,0.0124686898585179,NA,NA,NA,NA,0.75,0.84375,0,0,NA,NA,NA,0,20260548,20800549,20800748,1.50861120223999,0,1.87919832050076e-05
